iter	Passed	Remaining
0	93	93646
1	95	47506
2	96	32150
3	98	24442
4	99	19834
5	100	16728
6	102	14512
7	103	12892
8	105	11595
9	106	10591
10	108	9721
11	109	8985
12	110	8362
13	111	7826
14	112	7360
15	112	6945
16	113	6577
17	114	6248
18	115	5955
19	116	5690
20	116	5448
21	117	5225
22	118	5018
23	118	4829
24	119	4656
25	119	4495
26	120	4348
27	121	4213
28	121	4082
29	122	3960
30	123	3852
31	123	3746
32	124	3645
33	124	3548
34	125	3456
35	125	3369
36	126	3288
37	126	3210
38	127	3135
39	127	3065
40	128	2998
41	128	2934
42	129	2874
43	129	2815
44	130	2760
45	130	2706
46	130	2655
47	131	2606
48	131	2559
49	132	2514
50	132	2471
51	133	2429
52	133	2389
53	134	2350
54	134	2313
55	135	2280
56	135	2248
57	136	2218
58	137	2185
59	137	2154
60	137	2123
61	138	2094
62	138	2065
63	139	2037
64	139	2011
65	140	1985
66	140	1959
67	140	1932
68	141	1908
69	141	1885
70	142	1862
71	142	1840
72	143	1819
73	143	1798
74	144	1778
75	144	1758
76	145	1739
77	145	1720
78	146	1702
79	146	1684
80	146	1666
81	147	1649
82	147	1633
83	148	1616
84	148	1599
85	149	1583
86	149	1567
87	149	1554
88	150	1541
89	151	1527
90	151	1513
91	152	1500
92	152	1487
93	152	1474
94	153	1461
95	153	1448
96	154	1436
97	154	1424
98	155	1413
99	155	1401
100	156	1390
101	156	1377
102	156	1366
103	157	1355
104	157	1345
105	158	1334
106	158	1324
107	159	1314
108	159	1304
109	160	1295
110	160	1285
111	160	1276
112	161	1266
113	161	1258
114	162	1249
115	162	1239
116	163	1231
117	163	1223
118	164	1214
119	164	1206
120	165	1198
121	165	1190
122	165	1181
123	166	1173
124	166	1166
125	167	1158
126	167	1151
127	167	1143
128	168	1136
129	168	1129
130	169	1122
131	169	1115
132	170	1109
133	170	1102
134	171	1095
135	171	1089
136	171	1083
137	172	1076
138	172	1070
139	173	1063
140	173	1057
141	174	1051
142	174	1046
143	175	1040
144	175	1034
145	175	1029
146	176	1023
147	176	1017
148	177	1012
149	177	1007
150	178	1002
151	178	997
152	179	992
153	179	988
154	180	983
155	181	979
156	181	974
157	181	969
158	182	964
159	182	960
160	183	955
161	183	950
162	184	946
163	184	941
164	185	937
165	185	932
166	186	928
167	186	923
168	187	919
169	187	915
170	187	911
171	188	906
172	188	902
173	189	898
174	189	894
175	190	890
176	190	886
177	191	882
178	191	879
179	192	876
180	192	872
181	193	868
182	193	865
183	194	861
184	194	857
185	195	854
186	195	850
187	196	846
188	196	843
189	196	839
190	197	836
191	197	833
192	198	829
193	198	826
194	199	822
195	199	819
196	200	816
197	200	812
198	201	809
199	201	806
200	202	803
201	202	800
202	202	796
203	203	793
204	203	790
205	204	787
206	204	784
207	205	781
208	205	778
209	206	775
210	206	772
211	207	769
212	207	766
213	207	763
214	208	761
215	208	758
216	209	755
217	209	752
218	210	749
219	210	747
220	211	744
221	211	742
222	212	740
223	212	737
224	213	735
225	214	733
226	214	730
227	215	728
228	215	725
229	215	722
230	216	720
231	216	717
232	217	715
233	217	712
234	218	710
235	218	708
236	219	706
237	219	703
238	220	701
239	220	699
240	221	696
241	221	694
242	222	691
243	222	689
244	223	687
245	223	684
246	223	682
247	224	680
248	224	678
249	225	675
250	225	674
251	226	671
252	226	669
253	227	667
254	227	665
255	228	663
256	228	661
257	229	659
258	229	656
259	230	654
260	230	652
261	230	650
262	231	648
263	231	646
264	232	644
265	232	642
266	233	641
267	234	639
268	234	637
269	234	635
270	235	633
271	235	631
272	236	629
273	236	627
274	237	625
275	237	623
276	238	621
277	238	619
278	238	617
279	239	615
280	239	613
281	240	612
282	241	610
283	241	608
284	241	606
285	242	605
286	242	603
287	243	601
288	243	600
289	244	598
290	244	596
291	245	595
292	246	594
293	246	592
294	247	591
295	248	589
296	248	588
297	248	586
298	249	584
299	249	583
300	250	581
301	250	579
302	251	577
303	251	576
304	252	574
305	252	572
306	253	571
307	253	569
308	253	567
309	254	566
310	255	565
311	255	564
312	256	562
313	257	561
314	257	560
315	258	560
316	259	559
317	260	557
318	260	556
319	261	555
320	261	553
321	263	553
322	263	552
323	264	551
324	264	550
325	265	549
326	266	548
327	266	546
328	267	545
329	267	543
330	268	542
331	268	540
332	269	539
333	269	537
334	270	536
335	270	535
336	271	534
337	272	532
338	272	531
339	273	530
340	274	530
341	275	529
342	275	528
343	276	527
344	277	526
345	277	524
346	278	523
347	278	522
348	279	520
349	279	519
350	280	517
351	280	516
352	280	515
353	281	513
354	281	512
355	282	510
356	282	509
357	283	508
358	283	506
359	284	505
360	284	504
361	285	502
362	285	501
363	286	500
364	286	498
365	287	497
366	287	496
367	288	494
368	288	493
369	289	493
370	290	492
371	290	490
372	291	489
373	291	488
374	292	487
375	292	485
376	293	484
377	293	483
378	294	481
379	294	480
380	294	479
381	295	477
382	295	476
383	296	475
384	296	474
385	297	472
386	297	471
387	298	470
388	298	469
389	299	468
390	299	466
391	300	465
392	300	464
393	301	463
394	301	461
395	302	460
396	302	459
397	302	458
398	303	457
399	304	456
400	304	455
401	305	454
402	306	453
403	306	452
404	307	451
405	307	450
406	308	449
407	308	448
408	309	446
409	309	445
410	310	444
411	310	443
412	311	442
413	311	441
414	312	440
415	313	439
416	313	438
417	314	437
418	314	436
419	315	435
420	315	434
421	316	433
422	316	431
423	317	431
424	317	429
425	319	430
426	320	430
427	321	429
428	321	428
429	322	427
430	322	426
431	323	425
432	324	424
433	324	423
434	325	422
435	325	421
436	326	420
437	326	419
438	327	417
439	327	416
440	328	415
441	328	414
442	329	413
443	329	412
444	329	411
445	330	410
446	330	409
447	331	408
448	331	407
449	332	406
450	332	405
451	333	404
452	333	403
453	334	402
454	335	401
455	335	400
456	335	399
457	336	398
458	336	397
459	337	396
460	337	394
461	338	393
462	338	392
463	339	391
464	339	390
465	340	389
466	340	388
467	341	387
468	341	386
469	342	385
470	342	384
471	343	383
472	343	382
473	343	381
474	344	380
475	344	379
476	345	378
477	345	377
478	346	376
479	346	375
480	347	374
481	347	373
482	348	372
483	348	371
484	349	370
485	349	369
486	350	368
487	350	367
488	351	366
489	351	365
490	352	365
491	352	364
492	353	363
493	353	362
494	353	361
495	354	360
496	354	359
497	355	358
498	355	357
499	356	356
500	357	355
501	357	354
502	357	353
503	358	352
504	358	351
505	359	350
506	359	349
507	360	348
508	360	348
509	361	347
510	361	346
511	362	345
512	362	344
513	363	343
514	363	342
515	364	341
516	365	341
517	366	341
518	367	340
519	368	339
520	368	339
521	369	338
522	370	338
523	371	337
524	372	337
525	373	336
526	373	335
527	374	334
528	374	333
529	375	332
530	375	331
531	376	331
532	376	330
533	377	329
534	377	328
535	378	327
536	379	327
537	380	326
538	381	326
539	382	325
540	382	324
541	383	323
542	383	323
543	384	322
544	385	321
545	385	320
546	386	319
547	386	318
548	387	317
549	387	317
550	387	316
551	388	315
552	388	314
553	389	313
554	389	312
555	390	311
556	390	310
557	391	309
558	391	309
559	392	308
560	392	307
561	393	306
562	393	305
563	395	305
564	396	305
565	396	304
566	397	303
567	398	302
568	398	301
569	399	301
570	399	300
571	400	299
572	400	298
573	400	297
574	401	296
575	401	295
576	402	294
577	402	294
578	403	293
579	403	292
580	404	291
581	404	290
582	405	289
583	405	288
584	405	288
585	406	287
586	406	286
587	407	285
588	407	284
589	408	283
590	408	283
591	409	282
592	410	281
593	410	280
594	411	280
595	411	279
596	412	278
597	412	277
598	413	276
599	413	275
600	414	275
601	415	274
602	415	273
603	416	272
604	416	271
605	416	271
606	417	270
607	417	269
608	418	268
609	418	267
610	419	267
611	419	266
612	420	265
613	420	264
614	421	263
615	421	262
616	422	262
617	422	261
618	423	260
619	423	259
620	424	259
621	425	258
622	425	257
623	426	257
624	427	256
625	427	255
626	428	254
627	428	253
628	429	253
629	430	252
630	431	252
631	431	251
632	432	250
633	432	249
634	433	249
635	433	248
636	434	247
637	434	246
638	435	245
639	435	245
640	436	244
641	436	243
642	437	242
643	437	241
644	438	241
645	438	240
646	439	239
647	439	238
648	440	238
649	441	237
650	442	237
651	442	236
652	443	235
653	443	234
654	444	234
655	444	233
656	445	232
657	445	231
658	446	230
659	446	230
660	447	229
661	447	228
662	447	227
663	448	226
664	448	226
665	449	225
666	449	224
667	450	223
668	450	223
669	451	222
670	451	221
671	452	220
672	452	219
673	453	219
674	453	218
675	454	217
676	454	216
677	455	216
678	455	215
679	456	214
680	456	213
681	457	213
682	457	212
683	457	211
684	458	210
685	458	210
686	459	209
687	459	208
688	460	207
689	460	206
690	461	206
691	461	205
692	462	204
693	462	203
694	463	203
695	463	202
696	464	201
697	464	201
698	465	200
699	465	199
700	466	198
701	466	198
702	467	197
703	467	196
704	468	195
705	468	195
706	468	194
707	469	193
708	470	192
709	470	192
710	471	191
711	471	190
712	471	189
713	472	189
714	472	188
715	473	187
716	473	187
717	474	186
718	474	185
719	475	184
720	475	184
721	476	183
722	476	182
723	477	181
724	477	181
725	478	180
726	478	179
727	479	178
728	479	178
729	480	177
730	481	177
731	481	176
732	482	175
733	482	174
734	483	174
735	483	173
736	484	172
737	484	172
738	485	171
739	485	170
740	486	170
741	486	169
742	487	168
743	488	167
744	488	167
745	489	166
746	490	166
747	491	165
748	491	164
749	492	164
750	492	163
751	493	162
752	493	162
753	494	161
754	494	160
755	495	159
756	495	159
757	496	158
758	496	157
759	497	157
760	497	156
761	498	155
762	498	154
763	499	154
764	499	153
765	500	152
766	501	152
767	502	151
768	503	151
769	504	150
770	504	149
771	505	149
772	505	148
773	505	147
774	506	147
775	506	146
776	507	145
777	507	144
778	508	144
779	508	143
780	509	142
781	509	142
782	510	141
783	510	140
784	510	139
785	511	139
786	511	138
787	512	137
788	512	137
789	513	136
790	513	135
791	514	135
792	514	134
793	515	133
794	515	133
795	516	132
796	516	131
797	517	130
798	517	130
799	518	129
800	518	128
801	519	128
802	519	127
803	520	126
804	520	126
805	521	125
806	521	124
807	521	124
808	522	123
809	522	122
810	523	121
811	523	121
812	524	120
813	524	119
814	525	119
815	525	118
816	526	117
817	526	117
818	527	116
819	527	115
820	528	115
821	528	114
822	529	113
823	530	113
824	530	112
825	531	111
826	531	111
827	532	110
828	532	109
829	533	109
830	533	108
831	534	107
832	534	107
833	535	106
834	535	105
835	536	105
836	536	104
837	536	103
838	537	103
839	537	102
840	538	101
841	538	101
842	539	100
843	539	99
844	540	99
845	540	98
846	540	97
847	541	97
848	541	96
849	542	95
850	542	95
851	543	94
852	543	93
853	544	93
854	545	92
855	545	91
856	546	91
857	547	90
858	547	89
859	548	89
860	548	88
861	549	87
862	549	87
863	550	86
864	550	85
865	551	85
866	551	84
867	552	83
868	552	83
869	553	82
870	553	82
871	554	81
872	554	80
873	555	80
874	555	79
875	556	78
876	556	78
877	557	77
878	557	76
879	558	76
880	558	75
881	558	74
882	559	74
883	560	73
884	560	72
885	561	72
886	561	71
887	562	70
888	562	70
889	562	69
890	563	68
891	563	68
892	564	67
893	565	66
894	565	66
895	565	65
896	566	65
897	566	64
898	567	63
899	567	63
900	568	62
901	568	61
902	569	61
903	569	60
904	570	59
905	570	59
906	570	58
907	571	57
908	572	57
909	572	56
910	573	56
911	574	55
912	574	54
913	575	54
914	575	53
915	576	52
916	576	52
917	577	51
918	577	50
919	578	50
920	578	49
921	579	48
922	579	48
923	580	47
924	580	47
925	580	46
926	581	45
927	581	45
928	582	44
929	582	43
930	583	43
931	583	42
932	584	41
933	584	41
934	584	40
935	585	40
936	585	39
937	586	38
938	586	38
939	587	37
940	587	36
941	588	36
942	588	35
943	589	34
944	589	34
945	589	33
946	590	33
947	590	32
948	591	31
949	591	31
950	592	30
951	592	29
952	593	29
953	593	28
954	594	28
955	594	27
956	595	26
957	595	26
958	596	25
959	597	24
960	598	24
961	598	23
962	599	23
963	600	22
964	601	21
965	601	21
966	602	20
967	602	19
968	603	19
969	603	18
970	604	18
971	604	17
972	605	16
973	605	16
974	606	15
975	607	14
976	607	14
977	607	13
978	608	13
979	608	12
980	609	11
981	609	11
982	610	10
983	610	9
984	611	9
985	611	8
986	612	8
987	612	7
988	613	6
989	613	6
990	614	5
991	614	4
992	615	4
993	615	3
994	616	3
995	616	2
996	616	1
997	617	1
998	618	0
999	618	0
